feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target,category_2_Region A,category_2_Region B,category_2_Region C,category_high_and_above,category_low_and_below
0.3998287212608505,0.45577164115759494,-0.6485206725100179,0.8330046694770674,0.784919779304796,-1.5,-1.3001045201784571,-1.5,1.0,0.0,0.0,1.0,1.0,0.0
-0.11173533709431069,-0.025993113815457932,0.0032353766708767924,0.4037676970390421,0.7046742194954407,-1.5,-1.3392270417485124,-1.5,0.0,1.0,0.0,0.0,0.0,1.0
0.521459728793984,0.5548896846381132,-0.7641258928268811,1.7082660799040026,-0.2500293741272332,1.956258915599644,1.1902380248661366,1.503559426088272,1.0,0.0,0.0,1.0,1.0,0.0
1.2266697312590653,1.058219966799192,-1.5,2.5,0.8822013813101157,2.5,2.120912758004243,2.5,1.0,0.0,1.0,0.0,1.0,0.0
-0.18898741280672998,-0.20044009225721487,0.5760965733185425,-0.4416563010523425,0.6106010173187437,0.2114250390667896,0.9357594270081272,-0.401462709761597,0.0,0.0,0.0,1.0,0.0,1.0
-0.1889741859907321,-0.28018869454547474,0.2689719928095543,-0.7027746358154815,0.7022826384818066,-0.3323830135221774,0.453957697662358,-0.826721088777374,0.0,1.0,0.0,0.0,0.0,1.0
1.271932971890246,1.2417568385287352,-1.5,2.5,0.8647075886499744,2.0452831550678288,1.5315467399860694,1.7718514671480854,1.0,1.0,0.0,0.0,1.0,0.0
0.6179320532701243,0.6887535501005598,-1.4458769658736443,1.4110696421503186,0.8740025312281618,0.674729998295598,0.812931193364238,1.489837947054136,1.0,1.0,0.0,0.0,1.0,0.0
-0.37857143840434715,-0.35135697957453316,0.5750871662962428,-0.5329167113474524,-0.5198700734800183,-0.006446873582200564,-1.5,-1.5,0.0,1.0,0.0,0.0,0.0,1.0
0.4367640057367847,0.5228438744931069,-0.4033833582543737,1.4561645956077411,-0.7446245764456663,1.9873446889239248,0.4319658703126567,2.5,1.0,0.0,0.0,1.0,1.0,0.0
-0.37369192399949674,-0.3436087438717454,0.9654696283774608,-0.9637071366380372,0.3817498871426306,-1.5,-1.0211462828977018,-1.5,0.0,0.0,1.0,0.0,0.0,1.0
-0.37555461268858625,-0.4762306139589867,1.1857530540520278,-1.3862359076777109,0.1264279132742847,-0.0234406672255902,-0.0520321047931812,0.4675980730613593,0.0,0.0,1.0,0.0,0.0,1.0
0.1945904088624905,-0.009406930923157078,0.0032353766708767924,0.3162075185242446,-0.3451469887361358,-0.8829728296307078,-0.4735757813760516,-1.42993135580918,0.0,0.0,1.0,0.0,1.0,0.0
-1.5,-1.5,2.5,-1.5,0.3688990135540313,-1.2813171522746736,-0.1474375569762805,-1.3580634423395863,0.0,0.0,1.0,0.0,0.0,1.0
-1.390006929383023,-1.3938251682751228,2.5,-1.5,-0.8760062453681565,0.0938751025096132,-0.4449624948918919,-0.4776256676137859,0.0,0.0,1.0,0.0,0.0,1.0
-0.4533454215932113,-0.5275982550124071,0.7200473165622975,-1.4737921131480514,-0.9055833670082332,1.7872550749911942,0.3113726919821227,1.632344250828451,1.0,0.0,1.0,0.0,0.0,1.0
-0.8163213720487854,-0.9445626226068283,1.317793498911313,-1.5,-0.2913788315964798,0.0626422260221405,-0.383260596556637,-0.1658649929137796,0.0,1.0,0.0,0.0,0.0,1.0
0.25282614731157055,0.19065447559482548,-1.0238194116938484,-0.1626752580024102,-0.6123067531356783,2.5,1.3542071764879493,2.5,0.0,0.0,0.0,1.0,1.0,0.0
-0.7318846217374815,-0.7408928840087264,1.3576117978767637,-1.5,0.4371121014751549,2.5,1.9786070148749129,2.5,0.0,1.0,0.0,0.0,0.0,1.0
-1.1381524726040608,-1.074395245414034,1.732785873889604,-1.5,0.8960436758163841,2.5,2.5,2.5,0.0,0.0,1.0,0.0,0.0,1.0
